466,478,399
470,490,480
459,482,434
469,491,586
463,472,765
460,490,237
469,478,826
461,475,275
471,483,493
465,475,700
459,496,199
467,486,805
458,483,251
470,491,485
463,467,690
461,480,190
470,472,796
461,470,236
471,485,482
462,467,682
457,482,190
469,479,798
458,477,240
469,480,485
465,461,678
463,482,184
467,473,797
458,472,239
469,487,490
466,482,685
463,494,185
470,484,808
460,482,239
466,486,491
460,470,683
464,484,179
470,480,809
459,474,238
466,488,498
466,469,678
461,485,174
471,485,816
461,479,245
471,474,497
463,460,673
459,471,166
467,472,812
459,470,239
466,479,500
464,459,671
461,477,165
468,470,817
456,469,235
471,475,507
461,465,676
462,481,166
467,472,826
462,466,237
467,479,509
462,471,677
460,477,163
470,472,830
459,463,239
474,482,518
464,464,672
461,475,158
467,469,835
457,466,241
467,468,515
465,462,670
465,485,158
471,485,844
456,481,244
468,489,530
463,475,683
461,486,164
467,476,850
457,469,244
469,475,526
466,467,671
461,479,154
470,473,850
458,469,246
466,470,529
461,464,670
464,479,150
470,476,855
460,470,246
466,481,537
465,470,673
461,479,151
467,481,864
457,476,249
468,488,545
466,477,681
461,479,152
467,482,871
460,478,251
468,486,547
464,473,674
463,484,150
469,488,877
460,477,254
468,482,549
465,464,670
460,478,143
468,469,870
458,466,250
467,482,551
461,467,678
462,466,135
471,466,870
461,471,256
468,481,551
462,468,691
460,476,136
470,478,881
460,470,255
467,479,549
466,470,695
461,472,130
464,473,882
460,469,259
464,486,550
467,473,701
461,488,134
466,478,885
456,469,256
466,478,548
465,454,689
462,462,113
468,466,879
458,464,257
464,472,546
465,455,701
460,470,115
468,474,884
458,467,259
465,485,549
463,463,702
456,466,114
468,465,883
461,460,260
468,462,540
467,451,699
460,460,110
470,463,881
459,453,258
463,458,537
468,456,700
458,458,110
468,459,881
464,453,261
468,463,538
466,458,714
459,465,112
469,466,883
460,458,266
465,473,541
466,456,712
464,460,110
469,456,879
463,452,264
469,468,538
466,454,714
461,464,112
474,468,883
460,478,273
463,491,544
464,468,733
462,473,115
471,473,885
460,466,271
460,474,537
464,458,735
460,468,113
470,470,883
460,466,273
464,473,534
464,456,736
461,462,111
467,467,883
465,470,278
468,482,537
464,471,745
458,472,115
468,467,883
461,456,273
467,472,531
463,461,746
460,469,115
469,473,885
461,459,281
465,466,530
465,458,754
458,464,112
469,463,881
460,451,280
465,464,525
467,449,759
462,456,110
466,469,884
459,462,284
468,470,528
463,459,757
460,457,112
466,460,881
463,448,277
466,464,523
464,460,773
461,465,112
471,463,881
462,452,283
465,466,525
466,460,777
458,465,113
466,479,886
462,476,293
464,479,528
465,463,783
461,469,116
469,476,886
459,467,295
466,472,524
466,454,781
459,460,111
467,462,880
458,456,287
466,471,520
465,464,790
459,466,115
466,465,882
461,461,294
463,469,519
465,458,794
462,458,111
467,456,879
460,447,292
461,452,511
464,442,795
459,453,111
469,452,877
461,447,292
466,451,506
466,446,795
458,442,108
470,445,874
460,440,293
464,449,495
464,430,796
460,434,104
465,439,872
457,426,290
463,443,484
465,441,809
462,459,111
467,457,878
461,443,297
464,458,484
468,442,814
461,455,112
468,455,878
460,447,299
463,446,469
467,441,814
462,448,109
468,446,873
462,441,297
466,464,468
467,465,834
462,474,119
471,469,882
460,455,301
464,468,471
468,464,828
460,476,120
466,469,882
459,454,301
463,455,458
466,448,827
461,455,112
470,461,880
465,463,306
466,467,455
466,458,831
460,467,117
468,479,885
461,473,314
466,475,452
467,470,851
462,473,119
468,476,884
463,464,315
464,470,440
465,463,850
